scale,exam,retrieval,base_strict,ft_strict,delta,ft_wins,base_wins,discordant,p_exact,p_holm,significant_05
0.8B,2022 English,None,7,22,15,17,2,19,0.000728607177734375,0.02185821533203125,True
0.8B,2022 English,BM25,4,25,21,23,2,25,1.9431114196777344e-05,0.000621795654296875,True
0.8B,2022 English,FAISS,2,34,32,33,1,34,4.0745362639427185e-09,1.4668330550193787e-07,True
0.8B,2022 Bangla,None,0,2,2,2,0,2,0.5,1.0,False
0.8B,2022 Bangla,BM25,3,10,7,8,1,9,0.0390625,0.9375,False
0.8B,2022 Bangla,FAISS,1,8,7,8,1,9,0.0390625,0.9375,False
0.8B,2023 English,None,3,10,7,8,1,9,0.0390625,0.9375,False
0.8B,2023 English,BM25,0,25,25,25,0,25,5.960464477539063e-08,2.086162567138672e-06,True
0.8B,2023 English,FAISS,0,21,21,21,0,21,9.5367431640625e-07,3.24249267578125e-05,True
0.8B,2023 Bangla,None,0,8,8,8,0,8,0.0078125,0.21875,False
0.8B,2023 Bangla,BM25,0,19,19,19,0,19,3.814697265625e-06,0.000125885009765625,True
0.8B,2023 Bangla,FAISS,2,7,5,7,2,9,0.1796875,1.0,False
2B,2022 English,None,18,18,0,8,8,16,1.0,1.0,False
2B,2022 English,BM25,16,32,16,24,8,32,0.0070003666914999485,0.2030106340534985,False
2B,2022 English,FAISS,18,26,8,20,12,32,0.21532714972272515,1.0,False
2B,2022 Bangla,None,4,13,9,10,1,11,0.01171875,0.31640625,False
2B,2022 Bangla,BM25,4,13,9,11,2,13,0.0224609375,0.583984375,False
2B,2022 Bangla,FAISS,6,12,6,11,5,16,0.210113525390625,1.0,False
2B,2023 English,None,13,11,-2,4,6,10,0.75390625,1.0,False
2B,2023 English,BM25,16,24,8,16,8,24,0.15158963203430176,1.0,False
2B,2023 English,FAISS,17,28,11,16,5,21,0.02660369873046875,0.6650924682617188,False
2B,2023 Bangla,None,3,9,6,9,3,12,0.14599609375,1.0,False
2B,2023 Bangla,BM25,2,19,17,18,1,19,7.62939453125e-05,0.0023651123046875,True
2B,2023 Bangla,FAISS,3,9,6,8,2,10,0.109375,1.0,False
4B,2022 English,None,32,23,-9,10,19,29,0.13604594767093658,1.0,False
4B,2022 English,BM25,44,36,-8,10,18,28,0.1849333420395851,1.0,False
4B,2022 English,FAISS,46,45,-1,15,16,31,1.0,1.0,False
4B,2022 Bangla,None,15,16,1,8,7,15,1.0,1.0,False
4B,2022 Bangla,BM25,16,21,5,15,10,25,0.42435622215270996,1.0,False
4B,2022 Bangla,FAISS,14,10,-4,6,10,16,0.454498291015625,1.0,False
4B,2023 English,None,29,19,-10,9,19,28,0.08715855330228806,1.0,False
4B,2023 English,BM25,40,37,-3,13,16,29,0.711071103811264,1.0,False
4B,2023 English,FAISS,38,34,-4,10,14,24,0.5412561893463135,1.0,False
4B,2023 Bangla,None,14,14,0,10,10,20,1.0,1.0,False
4B,2023 Bangla,BM25,23,24,1,13,12,25,1.0,1.0,False
4B,2023 Bangla,FAISS,12,19,7,12,5,17,0.143463134765625,1.0,False
